Match_Date,Season_Label,Season_Usage,Team_ID,Team_Name,Opponent,Team_Score,Opponent_Score,Win,Best_Of,LAN_Online,Match_ID,Match_URL
2025-07-24,2025_s2,train,4914,3DMAX,Ninjas in Pyjamas,0,2,0,bo3,LAN,2383776,https://www.hltv.org/matches/2383776/3dmax-vs-ninjas-in-pyjamas-iem-cologne-2025-stage-1
2025-07-23,2025_s2,train,4914,3DMAX,MIBR,2,0,1,bo3,LAN,2383751,https://www.hltv.org/matches/2383751/3dmax-vs-mibr-iem-cologne-2025-stage-1
2025-07-18,2025_s2,train,4914,3DMAX,TYLOO,0,2,0,bo3,LAN,2383601,https://www.hltv.org/matches/2383601/tyloo-vs-3dmax-fissure-playground-1
2025-07-17,2025_s2,train,4914,3DMAX,paiN,2,0,1,bo3,LAN,2383594,https://www.hltv.org/matches/2383594/3dmax-vs-pain-fissure-playground-1
2025-07-16,2025_s2,train,4914,3DMAX,Rare Atom,2,0,1,bo3,LAN,2383592,https://www.hltv.org/matches/2383592/3dmax-vs-rare-atom-fissure-playground-1
2025-07-15,2025_s2,train,4914,3DMAX,Lynn Vision,0,2,0,bo3,LAN,2383573,https://www.hltv.org/matches/2383573/3dmax-vs-lynn-vision-fissure-playground-1
2025-06-14,2025_s1,train,4914,3DMAX,paiN,0,2,0,bo3,LAN,2382605,https://www.hltv.org/matches/2382605/3dmax-vs-pain-blasttv-austin-major-2025
2025-06-13,2025_s1,train,4914,3DMAX,Vitality,2,13,0,bo1,LAN,2382596,https://www.hltv.org/matches/2382596/3dmax-vs-vitality-blasttv-austin-major-2025
2025-06-12,2025_s1,train,4914,3DMAX,Natus Vincere,14,16,0,bo1,LAN,2382591,https://www.hltv.org/matches/2382591/3dmax-vs-natus-vincere-blasttv-austin-major-2025
2025-06-12,2025_s1,train,4914,3DMAX,G2,13,5,1,bo1,LAN,2382435,https://www.hltv.org/matches/2382435/g2-vs-3dmax-blasttv-austin-major-2025
2025-06-09,2025_s1,train,4914,3DMAX,FaZe,2,0,1,bo3,LAN,2382583,https://www.hltv.org/matches/2382583/faze-vs-3dmax-blasttv-austin-major-2025-stage-2
2025-06-08,2025_s1,train,4914,3DMAX,Nemiga,13,11,1,bo1,LAN,2382572,https://www.hltv.org/matches/2382572/3dmax-vs-nemiga-blasttv-austin-major-2025-stage-2
2025-06-07,2025_s1,train,4914,3DMAX,Legacy,7,13,0,bo1,LAN,2382443,https://www.hltv.org/matches/2382443/3dmax-vs-legacy-blasttv-austin-major-2025-stage-2
2025-06-07,2025_s1,train,4914,3DMAX,BetBoom,13,4,1,bo1,LAN,2382425,https://www.hltv.org/matches/2382425/3dmax-vs-betboom-blasttv-austin-major-2025-stage-2
2025-05-21,2025_s1,train,4914,3DMAX,G2,1,2,0,bo3,LAN,2382679,https://www.hltv.org/matches/2382679/3dmax-vs-g2-iem-dallas-2025
2025-05-20,2025_s1,train,4914,3DMAX,Legacy,2,1,1,bo3,LAN,2382677,https://www.hltv.org/matches/2382677/3dmax-vs-legacy-iem-dallas-2025
2025-05-19,2025_s1,train,4914,3DMAX,GamerLegion,1,2,0,bo3,LAN,2382376,https://www.hltv.org/matches/2382376/3dmax-vs-gamerlegion-iem-dallas-2025
2025-04-22,2025_s1,train,4914,3DMAX,FaZe,0,2,0,bo3,LAN,2381761,https://www.hltv.org/matches/2381761/faze-vs-3dmax-iem-melbourne-2025
2025-04-22,2025_s1,train,4914,3DMAX,BIG,2,0,1,bo3,LAN,2381753,https://www.hltv.org/matches/2381753/3dmax-vs-big-iem-melbourne-2025
2025-04-21,2025_s1,train,4914,3DMAX,GamerLegion,0,2,0,bo3,LAN,2381638,https://www.hltv.org/matches/2381638/3dmax-vs-gamerlegion-iem-melbourne-2025
2025-04-11,2025_s1,train,4914,3DMAX,FaZe,0,2,0,bo3,LAN,2381326,https://www.hltv.org/matches/2381326/3dmax-vs-faze-pgl-bucharest-2025
2025-04-08,2025_s1,train,4914,3DMAX,Aurora,2,1,1,bo3,LAN,2381314,https://www.hltv.org/matches/2381314/aurora-vs-3dmax-pgl-bucharest-2025
2025-04-07,2025_s1,train,4914,3DMAX,Astralis,2,1,1,bo3,LAN,2381304,https://www.hltv.org/matches/2381304/3dmax-vs-astralis-pgl-bucharest-2025
2025-04-06,2025_s1,train,4914,3DMAX,The MongolZ,2,1,1,bo3,LAN,2381251,https://www.hltv.org/matches/2381251/the-mongolz-vs-3dmax-pgl-bucharest-2025
2025-03-11,2025_s1,train,4914,3DMAX,Liquid,1,2,0,bo3,LAN,2380069,https://www.hltv.org/matches/2380069/liquid-vs-3dmax-esl-pro-league-season-21
2025-03-10,2025_s1,train,4914,3DMAX,The MongolZ,0,2,0,bo3,LAN,2380063,https://www.hltv.org/matches/2380063/the-mongolz-vs-3dmax-esl-pro-league-season-21
2025-03-09,2025_s1,train,4914,3DMAX,Falcons,2,1,1,bo3,LAN,2380056,https://www.hltv.org/matches/2380056/falcons-vs-3dmax-esl-pro-league-season-21
